ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Dolgopolov O.,Haider-Maurer A.,37,448,1296,81,7,6,6,3,6,4,,,,,3,0,Completed,1.04,13,1.02,10,1.05,10,1.03,18.28,1.06,21.25,1.03,13.72
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Harrison R.,Sela D.,45,95,1115,585,6,3,5,7,3,6,7,5,6,2,3,2,Completed,1.3,3.5,1.3,3.2,1.33,3.4,1.37,3.39,1.38,3.5,1.33,3.31
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Edmund K.,Anderson K.,49,12,992,2610,6,7,6,3,3,6,6,3,6,4,3,2,Completed,3,1.4,2.85,1.37,3,1.4,2.97,1.45,3.1,1.46,2.92,1.41
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Carreno Busta P.,Kubler J.,11,243,2615,217,7,5,4,6,7,5,6,1,,,3,1,Completed,1.28,3.75,1.25,3.6,1.36,3.25,1.27,4.22,1.33,4.3,1.28,3.73
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Cuevas P.,Youzhny M.,34,90,1345,604,7,6,6,3,7,5,,,,,3,0,Completed,1.72,2.1,1.6,2.2,1.61,2.25,1.77,2.18,1.77,2.45,1.64,2.27
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Istomin D.,Herbert P.H.,60,74,848,690,6,2,6,1,5,7,7,6,,,3,1,Completed,1.66,2.2,1.65,2.1,1.73,2.1,1.71,2.27,1.76,2.28,1.68,2.18
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Muller G.,Delbonis F.,28,67,1490,755,7,5,6,4,6,3,,,,,3,0,Completed,1.25,4,1.23,3.75,1.25,4,1.27,4.22,1.28,4.3,1.25,3.99
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Seppi A.,Moutet C.,76,155,686,361,3,6,6,4,6,2,6,2,,,3,1,Completed,1.33,3.4,1.3,3.2,1.4,3,1.34,3.59,1.36,3.59,1.33,3.36
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Rublev A.,Ferrer D.,32,33,1373,1360,7,5,6,7,6,2,6,7,6,2,3,2,Completed,1.9,1.9,1.8,1.9,2,1.8,1.9,2.01,2.15,2.01,1.88,1.92
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Ebden M.,Isner J.,78,16,684,2265,6,4,3,6,6,3,6,3,,,3,1,Completed,3.5,1.3,3.1,1.32,4,1.25,3.6,1.34,3.6,1.39,3.24,1.34
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Nishioka Y.,Kohlschreiber P.,168,29,318,1415,6,3,2,6,6,0,1,6,6,2,3,2,Completed,3.5,1.3,3.45,1.27,3.75,1.28,3.89,1.3,3.89,1.33,3.55,1.3
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Troicki V.,Bolt A.,65,188,800,274,6,7,4,6,6,2,6,3,6,4,3,2,Completed,1.25,4,1.25,3.6,1.28,3.75,1.31,3.8,1.31,4.2,1.27,3.77
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Shapovalov D.,Tsitsipas S.,50,82,986,655,6,1,6,3,7,6,,,,,3,0,Completed,1.72,2.1,1.65,2.1,1.8,2,1.77,2.18,1.77,2.25,1.71,2.14
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Dimitrov G.,Novak D.,3,226,4990,232,6,3,6,2,6,1,,,,,3,0,Completed,1.01,21,1.01,11.5,,,1.02,22.73,1.03,26.86,1.01,17.22
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Schwartzman D.,Lajovic D.,26,75,1675,687,2,6,6,3,5,7,6,4,11,9,3,2,Completed,1.25,4,1.22,3.85,1.3,3.5,1.27,4.21,1.3,4.33,1.26,3.9
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Pospisil V.,6,105,3805,541,6,2,6,2,4,6,7,6,,,3,1,Completed,1.12,6,1.11,5.6,,,1.14,6.71,1.16,6.79,1.13,5.95
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Dzumhur D.,Lorenzi P.,30,44,1391,1120,3,6,2,6,7,6,6,2,6,4,3,2,Completed,1.66,2.2,1.65,2.1,1.73,2.1,1.68,2.32,1.85,2.38,1.74,2.11
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Karlovic I.,Djere L.,89,85,615,624,7,6,6,3,7,6,,,,,3,0,Completed,1.9,1.9,1.8,1.9,1.67,2.2,1.99,1.92,1.99,2.05,1.88,1.92
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Mcdonald M.,Ymer E.,186,140,277,398,6,4,6,3,4,6,6,1,,,3,1,Completed,1.9,1.9,1.85,1.85,,,1.95,1.95,2,1.95,1.91,1.89
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Simon G.,Copil M.,57,92,860,592,7,5,6,4,6,3,,,,,3,0,Completed,1.4,3,1.35,2.95,1.2,4.5,1.41,3.18,1.43,3.3,1.38,3.07
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Sugita Y.,Sock J.,41,9,1200,2960,6,1,7,6,5,7,6,3,,,3,1,Completed,3,1.4,2.8,1.38,3,1.4,2.95,1.46,3.05,1.46,2.88,1.41
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Basilashvili N.,Melzer G.,61,102,836,545,6,3,6,4,2,6,6,3,,,3,1,Completed,1.5,2.62,1.45,2.55,1.57,2.37,1.54,2.66,1.55,2.76,1.5,2.59
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Baghdatis M.,Bhambri Y.,123,119,474,487,7,6,6,4,6,3,,,,,3,0,Completed,1.72,2.1,1.72,2,,,1.86,2.05,2.15,2.15,1.79,2.02
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Millman J.,Coric B.,122,46,476,1036,7,5,6,4,6,1,,,,,3,0,Completed,2.1,1.72,2,1.72,2.1,1.73,2.18,1.77,2.2,2.03,2.09,1.73
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Mayer L.,Jarry N.,52,101,929,550,6,2,7,6,6,3,,,,,3,0,Completed,1.44,2.75,1.42,2.65,1.44,2.75,1.46,2.96,1.49,3.01,1.43,2.81
