	match_id	p1_be	p1_bw	p1_fe	p1_fw	p1_unforced_errors	p1_winners	p2_be	p2_bw	p2_fe	p2_fw	p2_unforced_errors	p2_winners
45	19870905-M-US_Open-R32-John_Mcenroe-Slobodan_Zivojinovic	6	24	12	21	18.0	45.0	8	17	19	26	27.0	43.0
46	19870912-M-US_Open-SF-Stefan_Edberg-Mats_Wilander	20	27	24	36	44.0	63.0	5	19	11	16	16.0	35.0
47	19870914-M-US_Open-F-Ivan_Lendl-Mats_Wilander	18	21	29	36	47.0	57.0	29	20	8	13	37.0	33.0
48	19871025-M-Tokyo_Indoor-F-Stefan_Edberg-Ivan_Lendl	15	9	8	18	23.0	27.0	8	13	5	10	13.0	23.0
49	19871108-M-Stockholm-F-Jonas_Svensson-Stefan_Edberg	22	22	18	16	40.0	38.0	17	20	13	15	30.0	35.0
50	19871206-M-Masters-F-Mats_Wilander-Ivan_Lendl	16	5	4	6	20.0	11.0	12	18	8	21	20.0	39.0
51	19880124-M-Australian_Open-F-Pat_Cash-Mats_Wilander	29	29	28	32	57.0	61.0	18	17	21	20	39.0	37.0
52	19880427-M-Hamburg-R32-Boris_Becker-Mansour_Bahrami	8	15	3	15	11.0	30.0	3	5	6	8	9.0	13.0
53	19880605-M-Roland_Garros-F-Mats_Wilander-Henri_Leconte	4	15	5	7	9.0	22.0	31	13	7	12	38.0	25.0
54	19880704-M-Wimbledon-F-Stefan_Edberg-Boris_Becker	13	26	11	21	24.0	47.0	15	12	8	19	23.0	31.0
55	19880911-M-US_Open-F-Mats_Wilander-Ivan_Lendl	19	10	16	23	35.0	33.0	38	35	51	46	89.0	81.0
56	19881202-M-Masters_Cup-F-Boris_Becker-Ivan_Lendl	24	23	18	15	42.0	38.0	28	20	11	27	39.0	47.0
57	19890129-M-Australian_Open-F-Ivan_Lendl-Miroslav_Mecir	18	2	10	8	28.0	10.0	12	6	11	6	23.0	12.0
58	19890611-M-Roland_Garros-F-Michael_Chang-Stefan_Edberg	18	24	11	31	29.0	55.0	27	25	31	33	58.0	58.0
59	19890701-M-Wimbledon-SF-Stefan_Edberg-John_Mcenroe	13	22	12	28	25.0	50.0	7	20	5	20	12.0	40.0
60	19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg	4	16	5	28	9.0	44.0	7	13	6	18	13.0	31.0
61	19890905-M-US_Open-R16-Jimmy_Connors-Stefan_Edberg	7	6	10	14	17.0	20.0	19	6	14	9	33.0	15.0
62	19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl	29	13	18	9	47.0	22.0	20	13	16	23	36.0	36.0
63	19891105-M-Paris_Masters-F-Stefan_Edberg-Boris_Becker	9	11	7	9	16.0	20.0	10	18	8	17	18.0	35.0
64	19891203-M-Tour_Finals-F-Stefan_Edberg-Boris_Becker	15	17	8	21	23.0	38.0	18	13	10	16	28.0	29.0
65	19900127-M-Australian_Open-SF-Mats_Wilander-Stefan_Edberg	11	4	5	4	16.0	8.0	9	25	8	19	17.0	44.0
66	19900128-M-Australian_Open-F-Ivan_Lendl-Stefan_Edberg	20	11	7	21	27.0	32.0	18	7	13	13	31.0	20.0
67	19900311-M-Indian_Wells_Masters-F-Andre_Agassi-Stefan_Edberg	24	37	20	21	44.0	58.0	28	21	13	31	41.0	52.0
68	19900325-M-Miami_Masters-F-Andre_Agassi-Stefan_Edberg	15	21	7	10	22.0	31.0	20	13	21	15	41.0	28.0
69	19900429-M-Monte_Carlo_Masters-F-Andrei_Chesnokov-Thomas_Muster	17	8	13	15	30.0	23.0	20	4	38	19	58.0	23.0
70	19900513-M-Hamburg_Masters-F-Juan_Aguilera-Boris_Becker	12	12	10	13	22.0	25.0	22	13	28	7	50.0	20.0
71	19900610-M-Roland_Garros-F-Andres_Gomez-Andre_Agassi	25	14	28	26	53.0	40.0	16	9	10	13	26.0	22.0
72	19900611-M-Queens_Club-F-Boris_Becker-Ivan_Lendl	4	5	0	4	4.0	9.0	4	15	4	8	8.0	23.0
73	19900616-M-Queens_Club-SF-Stefan_Edberg-Boris_Becker	9	11	2	10	11.0	21.0	5	8	4	17	9.0	25.0
74	19900707-M-Wimbledon-SF-Stefan_Edberg-Ivan_Lendl	9	17	4	24	13.0	41.0	8	10	3	17	11.0	27.0
75	19900708-M-Wimbledon-F-Boris_Becker-Stefan_Edberg	9	33	11	19	20.0	52.0	8	22	7	24	15.0	46.0
