	match_id	p1_backhand_per	p1_cc	p1_dl	p1_dm	p1_forehand_per	p1_ii	p1_io	p2_backhand_per	p2_cc	p2_dl	p2_dm	p2_forehand_per	p2_ii	p2_io
847	20180916-M-Davis_Cup_World_Group_SF-RR-Marcel_Granollers-Nicolas_Mahut.html	0.6424242424242425	0.41	0.11	0.36	0.3575757575757576	0.01	0.1	0.5303030303030303	0.44	0.1	0.27	0.4666666666666667	0.01	0.18
848	20070513-M-Rome_Masters-F-Fernando_Gonzalez-Rafael_Nadal.html	0.46808510638297873	0.33	0.12	0.35	0.5319148936170213	0.03	0.17	0.34210526315789475	0.4	0.12	0.26	0.6578947368421053	0.02	0.18
849	20190201-M-Davis_Cup_Qualifiers-RR-Jurij_Rodionov-Nicolas_Jarry.html	0.5080213903743316	0.39	0.06	0.38	0.4919786096256685	0.0	0.17	0.4564102564102564	0.43	0.1	0.3	0.5435897435897435	0.02	0.16
850	20160307-M-Puebla_CH-Q3-Fernando_Romboli-Stefano_Napolitano.html	0.5192307692307693	0.24	0.27	0.44	0.4807692307692308	0.0	0.05	0.49514563106796117	0.62	0.0	0.17	0.5048543689320388	0.08	0.14
851	20080615-M-Queens_Club-F-Novak_Djokovic-Rafael_Nadal.html	0.43653250773993807	0.36	0.18	0.28	0.5634674922600619	0.0	0.18	0.428125	0.41	0.18	0.22	0.571875	0.02	0.18
852	20170107-M-Doha-F-Novak_Djokovic-Andy_Murray.html	0.5546218487394958	0.44	0.21	0.23	0.44537815126050423	0.02	0.1	0.5049019607843137	0.59	0.11	0.17	0.4950980392156863	0.0	0.13
853	20151018-M-Ho_Chi_Minh_City_CH-F-Saketh_Myneni-Jordan_Thompson.html	0.5325443786982249	0.47	0.02	0.33	0.46745562130177515	0.0	0.18	0.47928994082840237	0.23	0.11	0.46	0.5207100591715976	0.0	0.2
854	20071118-M-Masters_Cup-F-David_Ferrer-Roger_Federer.html	0.439873417721519	0.39	0.07	0.3	0.560126582278481	0.03	0.2	0.6208955223880597	0.45	0.15	0.29	0.37910447761194027	0.01	0.09
855	20040126-M-Australian_Open-R16-Roger_Federer-Lleyton_Hewitt.html	0.474468085106383	0.51	0.18	0.15	0.5255319148936171	0.06	0.11	0.4756637168141593	0.57	0.12	0.12	0.5243362831858407	0.03	0.17
856	20181115-M-Tour_Finals-RR-Dominic_Thiem-Kei_Nishikori.html	0.5352112676056338	0.42	0.08	0.33	0.4647887323943662	0.01	0.16	0.4798206278026906	0.4	0.07	0.28	0.5201793721973094	0.01	0.24
