	match_id	p1_be	p1_bw	p1_fe	p1_fw	p1_unforced_errors	p1_winners	p2_be	p2_bw	p2_fe	p2_fw	p2_unforced_errors	p2_winners
43	20090404-M-Miami_Masters-SF-Roger_Federer-Novak_Djokovic.html	13	6	27	9	40.0	15.0	15	2	10	11	25.0	13.0
44	20090405-M-Miami_Masters-F-Novak_Djokovic-Andy_Murray.html	18	6	15	7	33.0	13.0	15	4	4	11	19.0	15.0
45	20090412-M-Monte_Carlo_Masters-F-Novak_Djokovic-Rafael_Nadal.html	29	5	20	18	49.0	23.0	10	7	16	16	26.0	23.0
46	20090503-M-Rome_Masters-SF-Novak_Djokovic-Roger_Federer.html	17	5	13	22	30.0	27.0	17	5	20	15	37.0	20.0
47	20090504-M-Rome_Masters-F-Novak_Djokovic-Rafael_Nadal.html	21	11	14	11	35.0	22.0	8	4	10	15	18.0	19.0
48	20090515-M-Madrid_Masters-SF-Novak_Djokovic-Rafael_Nadal.html	22	11	19	16	41.0	27.0	21	5	27	22	48.0	27.0
49	20090816-M-Cincinnati_Masters-F-Roger_Federer-Novak_Djokovic.html	9	4	14	16	23.0	20.0	16	4	9	9	25.0	13.0
50	20090822-M-Cincinnati_Masters-SF-Novak_Djokovic-Rafael_Nadal.html	13	4	13	10	26.0	14.0	7	3	13	6	20.0	9.0
51	20090913-M-US_Open-SF-Novak_Djokovic-Roger_Federer.html	19	8	13	14	32.0	22.0	7	5	21	34	28.0	39.0
52	20091108-M-Basel-F-Roger_Federer-Novak_Djokovic.html	13	6	25	6	38.0	12.0	11	8	16	12	27.0	20.0
53	20091114-M-Paris_Masters-SF-Novak_Djokovic-Rafael_Nadal.html	6	7	4	18	10.0	25.0	4	5	2	3	6.0	8.0
54	20091115-M-Paris_Masters-F-Novak_Djokovic-Gael_Monfils.html	20	5	17	21	37.0	26.0	11	3	16	8	27.0	11.0
55	20091122-M-London-RR-Robin_Soderling-Novak_Djokovic.html	10	4	13	13	23.0	17.0	11	4	15	4	26.0	8.0
56	20091127-M-Tour_Finals-RR-Rafael_Nadal-Novak_Djokovic.html	15	3	18	3	33.0	6.0	15	8	18	11	33.0	19.0
57	20100126-M-Australian_Open-QF-Novak_Djokovic-Jo_Wilfried_Tsonga.html	23	13	24	24	47.0	37.0	22	9	35	25	57.0	34.0
58	20100702-M-Wimbledon-SF-Tomas_Berdych-Novak_Djokovic.html	14	3	14	17	28.0	20.0	13	7	12	9	25.0	16.0
59	20100815-M-Canada_Masters-SF-Roger_Federer-Novak_Djokovic.html	11	3	20	13	31.0	16.0	26	6	15	19	41.0	25.0
60	20100903-M-US_Open-SF-Novak_Djokovic-Roger_Federer.html	24	13	14	13	38.0	26.0	25	6	39	22	64.0	28.0
61	20100912-M-US_Open-F-Novak_Djokovic-Rafael_Nadal.html	22	10	27	25	49.0	35.0	20	12	12	21	32.0	33.0
62	20101015-M-Shanghai_Masters-SF-Novak_Djokovic-Roger_Federer.html	15	7	11	9	26.0	16.0	8	3	9	19	17.0	22.0
63	20101107-M-Basel-F-Novak_Djokovic-Roger_Federer.html	19	4	16	8	35.0	12.0	13	4	16	11	29.0	15.0
64	20101121-M-Tour_Finals-RR-Novak_Djokovic-Andy_Roddick.html	9	1	5	11	14.0	12.0	6	0	9	3	15.0	3.0
65	20101121-M-Tour_Finals-RR-Tomas_Berdych-Novak_Djokovic.html	9	4	14	5	23.0	9.0	8	7	10	6	18.0	13.0
66	20101124-M-Tour_Finals-RR-Novak_Djokovic-Rafael_Nadal.html	14	3	15	4	29.0	7.0	9	3	9	8	18.0	11.0
67	20101126-M-Tour_Finals-SF-Roger_Federer-Novak_Djokovic.html	8	5	5	19	13.0	24.0	4	2	12	10	16.0	12.0
68	20110127-M-Australian_Open-SF-Novak_Djokovic-Roger_Federer.html	13	6	16	16	29.0	22.0	29	12	18	16	47.0	28.0
69	20110130-M-Australian_Open-F-Novak_Djokovic-Andy_Murray.html	15	5	14	15	29.0	20.0	22	2	17	10	39.0	12.0
70	20110221-M-Dubai-F-Roger_Federer-Novak_Djokovic.html	11	3	15	9	26.0	12.0	7	1	3	3	10.0	4.0
71	20110310-M-Indian_Wells_Masters-QF-Richard_Gasquet-Novak_Djokovic.html	10	6	9	6	19.0	12.0	12	6	15	20	27.0	26.0
72	20110319-M-Indian_Wells_Masters-F-Novak_Djokovic-Rafael_Nadal.html	19	5	5	15	24.0	20.0	13	8	15	7	28.0	15.0
73	20110319-M-Indian_Wells_Masters-SF-Roger_Federer-Novak_Djokovic.html	15	5	20	16	35.0	21.0	11	5	14	8	25.0	13.0
74	20110403-M-Miami_Masters-F-Novak_Djokovic-Rafael_Nadal.html	20	14	20	22	40.0	36.0	13	5	12	14	25.0	19.0
75	20110504-M-Madrid_Masters-R32-Novak_Djokovic-Kevin_Anderson.html	5	4	7	16	12.0	20.0	8	4	14	3	22.0	7.0
76	20110508-M-Madrid_Masters-F-Novak_Djokovic-Rafael_Nadal.html	14	12	11	11	25.0	23.0	12	3	10	11	22.0	14.0
77	20110508-M-Rome_Masters-F-Novak_Djokovic-Rafael_Nadal.html	16	7	12	17	28.0	24.0	6	2	8	9	14.0	11.0
78	20110513-M-Rome_Masters-SF-Novak_Djokovic-Andy_Murray.html	19	12	16	19	35.0	31.0	12	9	23	18	35.0	27.0
79	20110701-M-Wimbledon-SF-Novak_Djokovic-Jo_Wilfried_Tsonga.html	8	12	12	15	20.0	27.0	28	6	17	21	45.0	27.0
80	20110703-M-Wimbledon-F-Novak_Djokovic-Rafael_Nadal.html	3	3	12	16	15.0	19.0	9	5	16	10	25.0	15.0
81	20110814-M-Canada_Masters-F-Novak_Djokovic-Mardy_Fish.html	13	9	14	5	27.0	14.0	16	10	20	10	36.0	20.0
82	20110821-M-Cincinnati_Masters-F-Novak_Djokovic-Andy_Murray.html	12	1	17	6	29.0	7.0	4	1	5	5	9.0	6.0
83	20110909-M-US_Open-SF-Roger_Federer-Novak_Djokovic.html	25	5	30	30	55.0	35.0	15	12	16	22	31.0	34.0
84	20110911-M-US_Open-F-Rafael_Nadal-Novak_Djokovic.html	17	8	26	21	43.0	29.0	23	13	34	26	57.0	39.0
85	20120122-M-Australian_Open-R16-Novak_Djokovic-Lleyton_Hewitt.html	16	16	20	23	36.0	39.0	14	6	23	12	37.0	18.0
86	20120124-M-Australian_Open-QF-David_Ferrer-Novak_Djokovic.html	10	4	26	11	36.0	15.0	18	12	16	18	34.0	30.0
87	20120127-M-Australian_Open-SF-Novak_Djokovic-Andy_Murray.html	28	17	27	17	55.0	34.0	38	6	36	28	74.0	34.0
88	20120227-M-Dubai-SF-Andy_Murray-Novak_Djokovic.html	7	3	6	6	13.0	9.0	11	5	12	6	23.0	11.0
89	20120327-M-Miami_Masters-QF-David_Ferrer-Novak_Djokovic.html	6	1	18	8	24.0	9.0	12	3	11	10	23.0	13.0
90	20120401-M-Miami_Masters-F-Novak_Djokovic-Andy_Murray.html	19	4	16	7	35.0	11.0	19	5	17	4	36.0	9.0
