	avg_rally_len	match_id	p1_backhand_per	p1_bp_saved	p1_cc	p1_dl	p1_dm	p1_forehand_per	p1_gp_won	p1_ii	p1_io	p1_neterrors	p1_netpassed	p1_netpts	p1_netpts_per	p1_netwon	p1_num_rtpts	p1_ret_inplay	p1_ret_won	p2_backhand_per	p2_bp_saved	p2_cc	p2_dl	p2_dm	p2_forehand_per	p2_gp_won	p2_ii	p2_io	p2_neterrors	p2_netpassed	p2_netpts	p2_netpts_per	p2_netwon	p2_num_rtpts	p2_ret_inplay	p2_ret_won
1794	6.529411764705882	20180506-M-Istanbul-F-Taro_Daniel-Malek_Jaziri.html	0.5253549695740365	0.6	0.49	0.09	0.23	0.4746450304259635	0.59	0.02	0.17	0.11	0.16	19.0	0.11176470588235295	0.63	90.0	0.8555555555555555	0.46	0.550098231827112	0.67	0.54	0.09	0.23	0.449901768172888	0.6	0.03	0.11	0.0	0.03	30.0	0.17647058823529413	0.9	80.0	0.8375	0.39
1795	4.858937198067633	20181004-M-Beijing-R16-Alexander_Zverev-Malek_Jaziri.html	0.5328798185941043	0.0	0.45	0.1	0.29	0.46485260770975056	0.74	0.02	0.14	0.08	0.04	26.0	0.12560386473429952	0.81	124.0	0.7338709677419355	0.4	0.5308056872037915	0.76	0.48	0.09	0.29	0.466824644549763	0.58	0.01	0.13	0.05	0.03	39.0	0.18840579710144928	0.79	83.0	0.6867469879518072	0.31
1796	3.7568345323741013	20141027-M-Paris_Masters-R64-Pierre_Hugues_Herbert-Adrian_Mannarino.html	0.47058823529411764	0.67	0.33	0.09	0.4	0.5294117647058824	0.61	0.02	0.16	0.21	0.15	33.0	0.23741007194244604	0.52	70.0	0.6285714285714286	0.33	0.42788461538461536	0.33	0.6	0.08	0.25	0.5721153846153846	0.64	0.0	0.08	0.24	0.24	17.0	0.1223021582733813	0.35	69.0	0.5797101449275363	0.39
1797	2.7464285714285714	20150829-M-Winston_Salem-F-Pierre_Hugues_Herbert-Kevin_Anderson.html	0.45652173913043476	0.78	0.37	0.08	0.32	0.5362318840579711	0.65	0.0	0.23	0.07	0.21	29.0	0.20714285714285716	0.66	65.0	0.4307692307692308	0.26	0.45774647887323944	1.0	0.42	0.06	0.33	0.5422535211267606	0.8	0.0	0.19	0.15	0.23	13.0	0.09285714285714286	0.46	75.0	0.5066666666666667	0.37
1798	4.348275862068965	20160412-M-Monte_Carlo_Masters-R32-Andy_Murray-Pierre_Hugues_Herbert.html	0.47249190938511326	0.5	0.49	0.1	0.18	0.5275080906148867	0.6	0.02	0.2	0.0	0.09	23.0	0.13218390804597702	0.87	73.0	0.7397260273972602	0.45	0.484472049689441	0.4	0.43	0.14	0.27	0.515527950310559	0.54	0.01	0.15	0.09	0.02	46.0	0.26436781609195403	0.78	101.0	0.7128712871287128	0.44
1799	2.6544600938967142	20160502-M-Madrid_Masters-R64-Pierre_Hugues_Herbert-Sam_Querrey.html	0.46153846153846156	0.78	0.39	0.19	0.18	0.5384615384615384	0.61	0.03	0.21	0.03	0.08	38.0	0.1784037558685446	0.71	97.0	0.4742268041237113	0.24	0.413265306122449	0.5	0.57	0.11	0.15	0.5867346938775511	0.7	0.03	0.14	0.06	0.12	17.0	0.07981220657276995	0.65	116.0	0.5775862068965517	0.29
1800	4.046543778801843	20180929-M-Shenzhen-SF-Pierre_Hugues_Herbert-Alex_De_Minaur.html	0.5540540540540541	0.5	0.49	0.08	0.28	0.44594594594594594	0.63	0.02	0.14	0.09	0.07	44.0	0.20276497695852536	0.61	101.0	0.5841584158415841	0.31	0.47619047619047616	0.67	0.31	0.09	0.38	0.5238095238095238	0.67	0.01	0.2	0.07	0.07	15.0	0.06912442396313365	0.67	116.0	0.6293103448275862	0.37
1801	4.2768472906403945	20180930-M-Shenzhen-F-Pierre_Hugues_Herbert-Yoshihito_Nishioka.html	0.4166666666666667	0.67	0.4	0.11	0.33	0.5833333333333334	0.62	0.0	0.15	0.0	0.07	45.0	0.22167487684729065	0.71	96.0	0.7916666666666666	0.42	0.5354107648725213	0.33	0.42	0.09	0.41	0.46458923512747874	0.63	0.0	0.07	0.11	0.11	9.0	0.04433497536945813	0.44	107.0	0.6355140186915887	0.44
1802	2.894949494949495	20181014-M-Ortisei_CH-F-Pierre_Hugues_Herbert-Ugo_Humbert.html	0.375	0.25	0.33	0.1	0.46	0.625	0.61	0.03	0.08	0.06	0.17	18.0	0.18181818181818182	0.56	49.0	0.5714285714285714	0.22	0.4326923076923077	1.0	0.36	0.11	0.33	0.5673076923076923	0.83	0.0	0.19	0.0	0.1	10.0	0.10101010101010101	0.8	50.0	0.5	0.4
1803	2.691338582677165	20190115-M-Australian_Open-R128-Pierre_Hugues_Herbert-Sam_Querrey.html	0.3924050632911392	0.71	0.55	0.17	0.19	0.6075949367088608	0.82	0.01	0.08	0.17	0.0	30.0	0.11811023622047244	0.77	138.0	0.5217391304347826	0.39	0.4329004329004329	0.67	0.6	0.16	0.11	0.5670995670995671	0.65	0.02	0.11	0.26	0.29	35.0	0.1377952755905512	0.46	116.0	0.47413793103448276	0.28
1804	2.619553072625698	20190119-M-Australian_Open-R32-Pierre_Hugues_Herbert-Milos_Raonic.html	0.4473684210526316	0.25	0.43	0.09	0.27	0.5526315789473685	0.69	0.01	0.2	0.05	0.0	39.0	0.21787709497206703	0.79	86.0	0.38372093023255816	0.22	0.45222929936305734	0.0	0.32	0.13	0.26	0.5477707006369427	0.77	0.04	0.25	0.04	0.07	46.0	0.2569832402234637	0.74	93.0	0.6559139784946236	0.33
1805	3.0214285714285714	20170722-M-Newport-SF-Matthew_Ebden-Peter_Gojowczyk.html	0.42105263157894735	0.0	0.18	0.21	0.39	0.5789473684210527	0.5	0.0	0.22	0.13	0.0	8.0	0.07142857142857142	0.88	59.0	0.711864406779661	0.49	0.390625	0.55	0.54	0.08	0.19	0.609375	0.48	0.01	0.18	0.09	0.14	22.0	0.19642857142857142	0.55	53.0	0.5094339622641509	0.36
1806	4.757777777777777	20171105-M-Canberra_CH-F-Matthew_Ebden-Taro_Daniel.html	0.38686131386861317	0.0	0.4	0.09	0.2	0.6131386861313869	0.81	0.06	0.26	0.0	0.08	39.0	0.28888888888888886	0.82	68.0	0.5735294117647058	0.32	0.4827586206896552	0.0	0.42	0.12	0.31	0.5172413793103449	0.68	0.0	0.15	0.0	0.0	7.0	0.05185185185185185	0.71	67.0	0.6716417910447762	0.28
1807	3.4	20171118-M-Toyota-SF-Matthew_Ebden-Hubert_Hurkacz.html	0.3775933609958506	0.63	0.39	0.08	0.26	0.6224066390041494	0.71	0.01	0.26	0.04	0.04	48.0	0.25668449197860965	0.73	95.0	0.6210526315789474	0.37	0.47368421052631576	0.4	0.39	0.12	0.31	0.5263157894736842	0.7	0.0	0.18	0.06	0.0	18.0	0.0962566844919786	0.78	92.0	0.6739130434782609	0.28
1808	4.349285714285715	20180609-M-Surbiton_CH-SF-Matthew_Ebden-Alex_De_Minaur.html	0.4901185770750988	0.75	0.3	0.17	0.3	0.5098814229249012	0.53	0.06	0.17	0.02	0.08	51.0	0.36428571428571427	0.65	69.0	0.7536231884057971	0.33	0.3967611336032389	1.0	0.43	0.12	0.27	0.6032388663967612	0.74	0.0	0.19	0.12	0.12	25.0	0.17857142857142858	0.72	71.0	0.7323943661971831	0.39
1809	3.1445205479452056	20180622-M-Halle-QF-Matthew_Ebden-Roger_Federer.html	0.38857142857142857	0.63	0.2	0.11	0.33	0.6114285714285714	0.61	0.01	0.35	0.11	0.14	66.0	0.4520547945205479	0.64	65.0	0.5692307692307692	0.25	0.5789473684210527	0.5	0.38	0.06	0.48	0.42105263157894735	0.63	0.0	0.09	0.26	0.11	19.0	0.13013698630136986	0.63	81.0	0.6419753086419753	0.41
1810	3.734126984126984	20181012-M-Shanghai_Masters-QF-Matthew_Ebden-Borna_Coric.html	0.5051546391752577	0.5	0.48	0.14	0.23	0.4948453608247423	0.64	0.02	0.14	0.11	0.08	38.0	0.30158730158730157	0.68	59.0	0.6779661016949152	0.34	0.518324607329843	0.33	0.48	0.15	0.2	0.4816753926701571	0.68	0.0	0.18	0.18	0.0	11.0	0.0873015873015873	0.64	67.0	0.6417910447761194	0.43
1811	4.827272727272727	20140528-M-Roland_Garros-R64-Guillermo_Garcia_Lopez-Adrian_Mannarino.html	0.5	0.73	0.49	0.08	0.29	0.4979508196721312	0.61	0.02	0.12	0.08	0.0	12.0	0.05194805194805195	0.75	105.0	0.8285714285714286	0.47	0.44752475247524753	0.43	0.65	0.09	0.2	0.5485148514851486	0.48	0.0	0.05	0.04	0.0	25.0	0.10822510822510822	0.8	126.0	0.7222222222222222	0.4
1812	3.7568345323741013	20141027-M-Paris_Masters-R64-Pierre_Hugues_Herbert-Adrian_Mannarino.html	0.47058823529411764	0.67	0.33	0.09	0.4	0.5294117647058824	0.61	0.02	0.16	0.21	0.15	33.0	0.23741007194244604	0.52	70.0	0.6285714285714286	0.33	0.42788461538461536	0.33	0.6	0.08	0.25	0.5721153846153846	0.64	0.0	0.08	0.24	0.24	17.0	0.1223021582733813	0.35	69.0	0.5797101449275363	0.39
1813	4.75	20150117-M-Auckland-F-Jiri_Vesely-Adrian_Mannarino.html	0.5202020202020202	0.67	0.48	0.09	0.33	0.4797979797979798	0.86	0.01	0.1	0.14	0.0	7.0	0.07291666666666667	0.86	48.0	0.75	0.5	0.46632124352331605	0.43	0.6	0.09	0.26	0.533678756476684	0.53	0.0	0.05	0.08	0.08	12.0	0.125	0.67	48.0	0.4791666666666667	0.29
1814	4.542657342657343	20150220-M-Delray_Beach-QF-Adrian_Mannarino-Yen_Hsun_Lu.html	0.4098939929328622	0.6	0.59	0.05	0.28	0.5901060070671378	0.63	0.0	0.08	0.08	0.08	13.0	0.09090909090909091	0.69	70.0	0.7428571428571429	0.47	0.5618374558303887	0.58	0.46	0.11	0.3	0.4381625441696113	0.62	0.01	0.12	0.1	0.0	10.0	0.06993006993006994	0.7	73.0	0.684931506849315	0.34
1815	3.95609756097561	20150316-M-Indian_Wells_Masters-R32-Ernests_Gulbis-Adrian_Mannarino.html	0.4697674418604651	0.63	0.38	0.12	0.33	0.5302325581395348	0.5	0.0	0.17	0.08	0.08	12.0	0.0975609756097561	0.83	51.0	0.6862745098039216	0.24	0.47474747474747475	0.0	0.38	0.03	0.49	0.5252525252525253	0.8	0.01	0.09	0.11	0.0	9.0	0.07317073170731707	0.89	72.0	0.6111111111111112	0.42
1816	4.472	20150520-M-Geneva-R16-Adrian_Mannarino-Pablo_Andujar.html	0.45	0.7	0.57	0.12	0.2	0.55	0.61	0.0	0.11	0.07	0.1	29.0	0.145	0.76	93.0	0.7741935483870968	0.34	0.4960835509138381	0.78	0.38	0.15	0.29	0.5039164490861618	0.73	0.01	0.16	0.08	0.08	13.0	0.065	0.69	107.0	0.8037383177570093	0.41
1817	4.722857142857143	20150726-M-Bogota-F-Bernard_Tomic-Adrian_Mannarino.html	0.475	0.71	0.43	0.15	0.22	0.525	0.71	0.0	0.19	0.08	0.25	12.0	0.08571428571428572	0.67	66.0	0.6515151515151515	0.44	0.519298245614035	0.44	0.62	0.08	0.22	0.4807017543859649	0.59	0.01	0.07	0.0	0.38	8.0	0.05714285714285714	0.63	74.0	0.6216216216216216	0.35
1818	4.4375	20150728-M-Bogota-QF-Malek_Jaziri-Adrian_Mannarino.html	0.5212765957446809	0.67	0.29	0.17	0.39	0.475177304964539	0.59	0.04	0.11	0.05	0.11	19.0	0.13194444444444445	0.68	63.0	0.746031746031746	0.44	0.5503597122302158	0.33	0.59	0.07	0.25	0.4460431654676259	0.61	0.0	0.08	0.12	0.06	17.0	0.11805555555555555	0.65	81.0	0.7160493827160493	0.48
1819	4.9	20151001-M-Shenzhen-R16-Yan_Bai-Adrian_Mannarino.html	0.45454545454545453	0.57	0.44	0.13	0.28	0.5454545454545454	0.61	0.01	0.15	0.11	0.11	36.0	0.23529411764705882	0.67	66.0	0.7121212121212122	0.27	0.5356037151702786	0.5	0.05	0.0	0.32	0.46439628482972134	0.83	0.05	0.59	0.08	0.08	12.0	0.0784313725490196	0.75	87.0	0.735632183908046	0.39
1820	4.435329341317366	20151102-M-Paris-R64-Adrian_Mannarino-Dominic_Thiem.html	0.534375	0.5	0.56	0.09	0.24	0.465625	0.58	0.0	0.1	0.15	0.15	13.0	0.07784431137724551	0.54	87.0	0.735632183908046	0.29	0.48466257668711654	0.83	0.43	0.08	0.35	0.5153374233128835	0.63	0.0	0.13	0.0	0.14	21.0	0.12574850299401197	0.76	80.0	0.7	0.36
